contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313C00628000,2026-03-03 15:36:41+00:00,628.0,47.05,36.95,39.69,0.0,0.0,,2,0.6084023535156251,True,REGULAR,USD,0.0027397260273972603,38.32,0.9428580042367045,0.5815675097955881,0.9744948982298887,0.002931296338104519,2.072018839616472,-241.9335499395199,1.6732933411404793,-0.0002865233814086498
SPY260313C00629000,2026-03-04 15:21:59+00:00,629.0,57.5,35.95,38.69,0.0,0.0,1.0,1,0.594730615234375,True,REGULAR,USD,0.0027397260273972603,37.32,0.9443593704854891,0.5683032877843744,0.9739767280112963,0.0030506348030087537,2.107192576223226,-240.58943580217618,1.6750874988433861,-0.000303709955538312
SPY260313C00630000,2026-03-12 19:59:20+00:00,630.0,36.29,34.96,37.7,-9.459999,-20.677593,8.0,76,0.584965087890625,True,REGULAR,USD,0.0027397260273972603,36.33,0.9458607367342736,0.5596144033447892,0.9724585444213779,0.0032482156120942646,2.209365518262795,-247.68213573174359,1.6750294127467333,-0.0003242421418280472
SPY260313C00631000,2026-03-09 19:33:05+00:00,631.0,48.0,33.96,36.7,0.0,0.0,2.0,5,0.5708050732421875,True,REGULAR,USD,0.0027397260273972603,35.33,0.9473621029830582,0.54623036069817,0.971871557417424,0.003386790117229935,2.248526228012739,-246.21133736261913,1.6766979919418394,-0.0003446011203445877
SPY260313C00632000,2026-03-12 20:00:16+00:00,632.0,34.37,32.97,35.71,-23.690002,-40.80262,7.0,7,0.56055126953125,True,REGULAR,USD,0.0027397260273972603,34.34,0.9488634692318428,0.537129703628,0.9702567868976307,0.003607729152740316,2.3553038069479992,-252.9407414987841,1.6764636522519107,-0.0003684967936026435
SPY260313C00633000,2026-03-12 15:43:00+00:00,633.0,34.3,33.03,34.71,-20.530003,-37.44301,4.0,6,0.6835969140625001,True,REGULAR,USD,0.0027397260273972603,33.870000000000005,0.9503648354806273,0.6716725697767881,0.9290085282752459,0.005796198217367284,4.731890433901767,-601.1221243275979,1.6024805974619263,-0.00037217915686201
SPY260313C00634000,2026-03-10 18:05:33+00:00,634.0,48.4,31.74,33.72,0.0,0.0,12.0,9,0.6381872119140625,True,REGULAR,USD,0.0027397260273972603,32.73,0.9518662017294119,0.6249670391365972,0.9366687971025116,0.005702882535088986,4.331969377273081,-515.4000704294276,1.619582510307615,-0.00040834319020137194
SPY260313C00635000,2026-03-12 20:03:16+00:00,635.0,32.11,30.74,32.72,-12.299999,-27.696463,17.0,55,0.622074091796875,True,REGULAR,USD,0.0027397260273972603,31.729999999999997,0.9533675679781964,0.6093417798755881,0.9352808560284891,0.005948549682282313,4.405608368269484,-511.2387223192758,1.6197894913851285,-0.0004335253613922079
SPY260313C00636000,2026-03-09 14:23:34+00:00,636.0,31.71,29.75,31.73,0.0,0.0,6.0,2,0.6084023535156251,True,REGULAR,USD,0.0027397260273972603,30.740000000000002,0.954868934226981,0.5958912942765856,0.9331130868107179,0.006240156448883919,4.519562090634047,-512.8003393190353,1.6185460279095119,-0.00045974412963998315
SPY260313C00637000,2026-03-12 15:21:59+00:00,637.0,30.33,28.76,30.74,-8.980001,-22.844063,3.0,8,0.5944864770507813,True,REGULAR,USD,0.0027397260273972603,29.75,0.9563703004757655,0.5822951890966868,0.9308467565397837,0.00655228015531744,4.637345980189474,-514.0840314180214,1.617122707801035,-0.0004882116029143833
SPY260313C00638000,2026-03-12 17:18:29+00:00,638.0,30.87,27.01,29.75,-11.6,-27.313396,4.0,4,0.7392604199218749,True,REGULAR,USD,0.0027397260273972603,28.380000000000003,0.9578716667245502,0.46998238484992994,0.9612993905330862,0.005119845480691083,2.9246390409637195,-272.9106174899558,1.6764467662097824,-0.0005594988155711384
SPY260313C00639000,2026-03-12 19:55:06+00:00,639.0,28.31,27.17,27.59,-10.030001,-26.16067,6.0,8,0.5283250292968751,True,REGULAR,USD,0.0027397260273972603,27.380000000000003,0.9593730329733348,0.4559755551989744,0.9602718995270217,0.0053908696302194465,2.987681022255875,-270.6919703183216,1.6773115042537943,-0.0006028551225680513
SPY260313C00640000,2026-03-12 20:00:46+00:00,640.0,26.64,26.18,26.66,-8.43,-24.03764,199.0,126,0.5278367529296876,True,REGULAR,USD,0.0027397260273972603,26.42,0.9608743992221193,0.4544909691745899,0.9548453655143259,0.005998664870370047,3.313703879963225,-296.8286419331501,1.670039158991841,-0.0006502401191323642
SPY260313C00641000,2026-03-12 19:55:06+00:00,641.0,26.33,25.19,25.65,-10.440001,-28.392712,5.0,5,0.5100146655273439,True,REGULAR,USD,0.0027397260273972603,25.42,0.9623757654709039,0.4401120872245723,0.9535764295499041,0.006334174986098717,3.3883416287594814,-294.1335185882192,1.6704633247113239,-0.0007032799742172192
SPY260313C00642000,2026-03-12 19:55:09+00:00,642.0,25.39,24.25,24.68,0.59000015,2.3790329,9.0,8,0.500005,True,REGULAR,USD,0.0027397260273972603,24.465,0.9638771317196884,0.4381608638278199,0.9473815253690998,0.007031429811360178,3.7446485913441316,-321.30447244848887,1.6617751681504982,-0.0007562364615559437
SPY260313C00643000,2026-03-12 19:55:07+00:00,643.0,24.36,23.22,23.7,-11.57,-32.201504,3.0,12,0.48779809082031256,True,REGULAR,USD,0.0027397260273972603,23.46,0.965378497968473,0.42207370213878187,0.946346278198431,0.00741306446597516,3.802943813765968,-314.8122955231107,1.662639451351764,-0.0008224273015841631
SPY260313C00644000,2026-03-09 19:49:11+00:00,644.0,23.4,22.24,22.71,-11.910002,-33.729824,5.0,6,0.4731497998046875,True,REGULAR,USD,0.0027397260273972603,22.475,0.9668798642172575,0.411070424614572,0.9430281828761593,0.007980885151042883,3.9875039950587934,-320.97721751647185,1.6592831210648082,-0.0008922625335691291
SPY260313C00645000,2026-03-12 20:13:59+00:00,645.0,21.38,21.27,21.75,-9.660002,-31.12114,64.0,141,0.463872548828125,True,REGULAR,USD,0.0027397260273972603,21.509999999999998,0.9683812304660421,0.4044428755654449,0.9373587091143933,0.008737532232378026,4.295164671504149,-338.7615654472805,1.651581199379106,-0.0009630646389231526
SPY260313C00646000,2026-03-12 20:01:21+00:00,646.0,20.69,20.34,20.73,-5.459999,-20.879538,34.0,24,0.44385321777343745,True,REGULAR,USD,0.0027397260273972603,20.535,0.9698825967148267,0.3947624772997778,0.9325528042392016,0.00948042665532202,4.548807797490873,-349.36667129911586,1.6454825159627913,-0.0010441182999775815
SPY260313C00647000,2026-03-12 20:12:41+00:00,647.0,19.4,19.37,19.75,-11.41,-37.033432,5.0,16,0.4304256176757813,True,REGULAR,USD,0.0027397260273972603,19.560000000000002,0.9713839629636112,0.3845427754953715,0.9274997861985402,0.010288729915186026,4.808839274275503,-359.04529209375085,1.6389328912780707,-0.0011339445348913049
SPY260313C00648000,2026-03-12 19:56:01+00:00,648.0,19.08,18.4,18.78,-9.93,-34.229576,64.0,267,0.4184628466796875,True,REGULAR,USD,0.0027397260273972603,18.59,0.9728853292123958,0.37478529253522824,0.9216297329420112,0.011201979350938326,5.102830539299631,-370.4845239129426,1.6308786237601078,-0.001230892380390425
SPY260313C00649000,2026-03-12 19:51:57+00:00,649.0,18.51,17.41,17.83,-7.99,-30.150944,35.0,14,0.4089414575195312,True,REGULAR,USD,0.0027397260273972603,17.619999999999997,0.9743866954611803,0.3644175544952994,0.915436734267399,0.012200858516846748,5.40410176686567,-380.7520669159056,1.6222350164475965,-0.0013387981347883875
SPY260313C00650000,2026-03-12 20:11:21+00:00,650.0,16.64,16.47,16.88,-9.52,-36.39144,1008.0,3867,0.3986876538085938,True,REGULAR,USD,0.0027397260273972603,16.674999999999997,0.9758880617099649,0.3577851990340106,0.906238240996518,0.013419707998865205,5.835784888355193,-402.21120825629305,1.608038462247983,-0.001438061039709077
SPY260313C00651000,2026-03-12 19:56:01+00:00,651.0,16.22,15.53,15.94,-11.85,-42.21589,46.0,369,0.3891662646484375,True,REGULAR,USD,0.0027397260273972603,15.735,0.9773894279587495,0.3508440071264034,0.8961539041858231,0.014747579702438797,6.288812594345329,-423.61729802850664,1.5922116900737182,-0.0015412490005868849
SPY260313C00652000,2026-03-12 20:04:51+00:00,652.0,15.39,14.64,15.01,-8.5199995,-35.633625,185.0,186,0.38013315185546875,True,REGULAR,USD,0.0027397260273972603,14.825,0.978890794207534,0.34718869821772147,0.8826908906999549,0.01626395434337693,6.863182767441922,-455.5248154860441,1.570137239493472,-0.0016214360427551265
SPY260313C00653000,2026-03-12 19:59:08+00:00,653.0,13.92,13.69,14.08,-12.02,-46.3377,95.0,21,0.370123486328125,True,REGULAR,USD,0.0027397260273972603,13.885,0.9803921604563186,0.33780439663858775,0.8716845348241851,0.017800978475787297,7.308748391299284,-471.0091063790604,1.552627942819551,-0.0017413703393493185
SPY260313C00654000,2026-03-12 19:59:08+00:00,654.0,13.02,12.83,13.18,-9.49,-42.15904,85.0,80,0.36255520263671875,True,REGULAR,USD,0.0027397260273972603,13.004999999999999,0.9818935267051031,0.33509106919643455,0.8545589540302435,0.019549926062796732,7.962360028983759,-506.9815022044684,1.5237877666669422,-0.0017968408931329125
SPY260313C00655000,2026-03-12 20:13:59+00:00,655.0,12.01,11.94,12.3,-8.809999,-42.31508,393.0,173,0.35596347167968745,True,REGULAR,USD,0.0027397260273972603,12.120000000000001,0.9833948929538877,0.3298779907293354,0.8374709265095512,0.0213740008228262,8.569845666744285,-535.6001093624413,1.4950298171676049,-0.0018610836709097472
SPY260313C00656000,2026-03-12 20:03:43+00:00,656.0,11.72,11.12,11.48,-9.409999,-44.533833,113.0,35,0.35425450439453116,True,REGULAR,USD,0.0027397260273972603,11.3,0.9848962592026722,0.3300657780415258,0.8146770201211566,0.023222000768424428,9.316096351569893,-580.3279599380371,1.4556815726928496,-0.0018415535484194196
SPY260313C00657000,2026-03-12 20:14:31+00:00,657.0,10.4,10.21,10.58,-9.140001,-46.77585,124.0,234,0.34265794067382804,True,REGULAR,USD,0.0027397260273972603,10.395,0.9863976254514568,0.31926279523245427,0.7978118554590226,0.025317336640232575,9.82426721415276,-591.1973397212895,1.4273850968017046,-0.0019346325008061632
SPY260313C00658000,2026-03-12 20:07:48+00:00,658.0,9.7,9.39,9.77,-9.2,-48.67725,401.0,166,0.3382634533691406,True,REGULAR,USD,0.0027397260273972603,9.58,0.9878989917002414,0.3159057302771256,0.7735337882918252,0.027331654818137364,10.494391683196271,-623.2593394452864,1.385314828995605,-0.001903604713782039
SPY260313C00659000,2026-03-12 20:10:00+00:00,659.0,8.92,8.59,8.97,-9.530001,-51.65312,386.0,194,0.3327703442382813,True,REGULAR,USD,0.0027397260273972603,8.780000000000001,0.9894003579490259,0.31179854651885835,0.747663506666696,0.029377691833056982,11.133343165409038,-651.1592152299974,1.3402979543538156,-0.001847139188398202
SPY260313C00660000,2026-03-12 20:14:48+00:00,660.0,8.04,7.88,8.1,-9.05,-52.954945,1399.0,3017,0.31958688232421867,True,REGULAR,USD,0.0027397260273972603,7.99,0.9909017241978105,0.3064468226177759,0.7203872235687244,0.031486952580906745,11.727882097736956,-672.909439082806,1.2926879790901769,-0.001768411246425627
SPY260313C00661000,2026-03-12 20:10:54+00:00,661.0,7.27,7.14,7.36,-8.92,-55.095737,1011.0,172,0.31555860229492183,True,REGULAR,USD,0.0027397260273972603,7.25,0.992403090446595,0.30308619536929643,0.6896490023306376,0.033404233283940675,12.305563405006536,-696.9585859875607,1.2386235967357848,-0.0016145490615613472
SPY260313C00662000,2026-03-12 20:14:02+00:00,662.0,6.5,6.5,6.65,-8.82,-57.571804,1112.0,181,0.31153032226562494,True,REGULAR,USD,0.0027397260273972603,6.575,0.9939044566953796,0.3024445749177945,0.6555613132121254,0.0349211000007459,12.837118569566494,-724.0632860726456,1.1782689498015588,-0.0013784384803062109
SPY260313C00663000,2026-03-12 20:14:26+00:00,663.0,5.93,5.81,5.95,-8.77,-59.659866,1720.0,527,0.30591514404296877,True,REGULAR,USD,0.0027397260273972603,5.88,0.9954058229441641,0.2976792248882918,0.6215909647472175,0.03664141722877513,13.257286069609508,-734.9347365158767,1.118183223183491,-0.0011483254268964942
SPY260313C00664000,2026-03-12 20:14:49+00:00,664.0,5.29,5.19,5.26,-7.8599997,-59.771862,2823.0,677,0.29871306762695304,True,REGULAR,USD,0.0027397260273972603,5.225,0.9969071891929487,0.2934083534688542,0.585430950898741,0.0381028565951699,13.588260023951337,-741.4795849129055,1.0539921581543321,-0.000861072808027647
SPY260313C00665000,2026-03-12 20:14:45+00:00,665.0,4.65,4.6,4.65,-8.26,-63.98141,8233.0,3475,0.29492892578124996,True,REGULAR,USD,0.0027397260273972603,4.625,0.9984085554417333,0.2905199670871539,0.5472978129092705,0.03911114664687456,13.81053088236403,-745.2075733307247,0.9860498080278669,-0.0005176115128017064
SPY260313C00666000,2026-03-12 20:14:59+00:00,666.0,4.05,4.01,4.06,-8.2,-66.938774,12049.0,550,0.2898020239257812,True,REGULAR,USD,0.0027397260273972603,4.035,0.9999099216905178,0.28559792653990107,0.5080211753624023,0.04005901826205524,13.905582635254108,-736.8343860767917,0.9159933775934127,-0.00014104084016079891
SPY260313C00667000,2026-03-12 20:14:59+00:00,667.0,3.5,3.47,3.51,-7.2700005,-67.50233,34926.0,892,0.2846751220703124,False,REGULAR,USD,0.0027397260273972603,3.49,1.0014112879393025,0.2810532954124611,0.4674039822116789,0.04057902230418771,13.861942702546711,-722.1071425624328,0.8433673842487234,0.0002778301078128396
SPY260313C00668000,2026-03-12 20:14:58+00:00,668.0,3.03,3.0,3.02,-7.4800005,-71.17032,78203.0,821,0.2810130493164062,False,REGULAR,USD,0.0027397260273972603,3.01,1.002912654188087,0.2782283849184424,0.4263605846176494,0.04042571688453618,13.670770837968744,-704.2853904962155,0.7697855615036623,0.0007130168474792699
SPY260313C00669000,2026-03-12 20:14:56+00:00,669.0,2.58,2.53,2.56,-7.0,-73.06889,64477.0,998,0.27637442382812494,False,REGULAR,USD,0.0027397260273972603,2.545,1.0044140204368714,0.27340418514195003,0.384490606007937,0.04008722030666064,13.32124879539079,-673.8209786095846,0.6946542796664458,0.0011750486070334373
SPY260313C00670000,2026-03-12 20:14:57+00:00,670.0,2.14,2.11,2.15,-6.7799997,-76.008965,124077.0,4796,0.27234614379882804,False,REGULAR,USD,0.0027397260273972603,2.13,1.005915386685656,0.26906873153466443,0.34284006374893583,0.03918418363662323,12.814683162013747,-637.4208791846102,0.6197864432586768,0.0016317668509195729
