contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313P00653000,2026-03-12 20:14:51+00:00,653.0,0.62,0.6,0.63,0.26,72.22222,15210.0,3573,0.3181220532226562,False,REGULAR,USD,0.0027397260273972603,0.615,0.9803921604563186,0.31706047295919415,-0.1136222890716736,0.017409843732489525,6.70920117781658,-385.4676975392962,-0.20902539803829825,-0.0019279540412501946
SPY260313P00654000,2026-03-12 20:14:53+00:00,654.0,0.7,0.7,0.73,0.29,70.731705,19508.0,2272,0.31445998046874996,False,REGULAR,USD,0.0027397260273972603,0.715,0.9818935267051031,0.31352379377333217,-0.12972840223572524,0.019325765142214988,7.364462270245424,-418.2397378142157,-0.23869014166481367,-0.0020228242031959665
SPY260313P00655000,2026-03-12 20:14:59+00:00,655.0,0.83,0.82,0.84,0.39,88.63637,59045.0,42652,0.3100654931640625,False,REGULAR,USD,0.0027397260273972603,0.83,0.9833948929538877,0.309993485556861,-0.14774160463775754,0.02135648248571148,8.046668864114148,-451.65331081935693,-0.2718760912763663,-0.0020994039010175363
SPY260313P00656000,2026-03-12 20:14:59+00:00,656.0,0.97,0.95,0.98,0.47000003,94.00001,13790.0,4471,0.30725790405273434,False,REGULAR,USD,0.0027397260273972603,0.965,0.9848962592026722,0.30682292699260505,-0.16806986886953101,0.023484032854582275,8.757785950540562,-486.3234455788306,-0.3093414151163698,-0.002146859904497174
SPY260313P00657000,2026-03-12 20:14:52+00:00,657.0,1.1,1.1,1.13,0.52000004,89.65518,18525.0,5359,0.3034737622070312,False,REGULAR,USD,0.0027397260273972603,1.115,0.9863976254514568,0.3031866609277071,-0.19019442132386588,0.02568917913130393,9.466602805025929,-519.1949122300722,-0.35012574193044516,-0.002170445014394647
SPY260313P00658000,2026-03-12 20:14:58+00:00,658.0,1.29,1.28,1.31,0.65,101.5625,44025.0,4559,0.30054410400390624,False,REGULAR,USD,0.0027397260273972603,1.295,0.9878989917002414,0.3004408375993588,-0.21524952363672256,0.02791465225989567,10.19353983948113,-553.7012648606191,-0.39633999781009643,-0.0021428749346858594
SPY260313P00659000,2026-03-12 20:14:48+00:00,659.0,1.5,1.49,1.52,0.79,111.26761,21610.0,6424,0.2981027221679687,False,REGULAR,USD,0.0027397260273972603,1.505,0.9894003579490259,0.2981990951166104,-0.24294740798413783,0.03010157673883815,10.91011691215064,-587.8553478670761,-0.44745904101051487,-0.0020628961035565256
SPY260313P00660000,2026-03-12 20:14:55+00:00,660.0,1.71,1.72,1.75,0.91,113.75,78344.0,65961,0.29505099487304687,False,REGULAR,USD,0.0027397260273972603,1.7349999999999999,0.9909017241978105,0.2953081459658281,-0.2724480926704298,0.03226075388561426,11.579339233465069,-617.449435041687,-0.5019226738084135,-0.0019455473838562336
SPY260313P00661000,2026-03-12 20:14:59+00:00,661.0,1.99,1.98,2.01,1.09,121.111115,21582.0,13321,0.2919992675781249,False,REGULAR,USD,0.0027397260273972603,1.9949999999999999,0.992403090446595,0.29249928994514346,-0.30425460066225885,0.03431226743707229,12.198546128649458,-643.794541932491,-0.5606762152798791,-0.0017749684557770839
SPY260313P00662000,2026-03-12 20:14:59+00:00,662.0,2.28,2.27,2.3,1.27,125.74258,23304.0,4609,0.288947540283203,False,REGULAR,USD,0.0027397260273972603,2.285,0.9939044566953796,0.2895767637774419,-0.3381629391078509,0.036218676507730724,12.747649828029674,-665.4825697277162,-0.6233474147938501,-0.0015521288342935234
